config,emergencia,iter,durationMin,distanceM,totalEdges,crossesElementoAlta,crossesObraAlta
CATAS,movimiento_en_masa,23,49.24,3187,87,0,0
BASE,movimiento_en_masa,24,21.8,1693,39,0,0
CATAS,movimiento_en_masa,24,26.16,1693,41,0,0
BASE,movimiento_en_masa,25,17.15,1303,35,0,0
CATAS,movimiento_en_masa,25,20.14,1303,35,0,0
BASE,movimiento_en_masa,26,59.48,4529,117,0,0
CATAS,movimiento_en_masa,26,69.97,4529,117,0,0
BASE,movimiento_en_masa,27,44.78,3466,122,0,0
CATAS,movimiento_en_masa,27,53.56,3466,122,0,0
BASE,movimiento_en_masa,28,12.93,1009,33,0,0
CATAS,movimiento_en_masa,28,15.59,1009,33,0,0
BASE,movimiento_en_masa,29,78.65,5821,279,0,3
CATAS,movimiento_en_masa,29,96.61,5821,277,0,3
BASE,movimiento_en_masa,30,31.13,2417,90,0,0
CATAS,movimiento_en_masa,30,37.34,2417,90,0,0
BASE,movimiento_en_masa,31,20.22,1566,43,0,0
CATAS,movimiento_en_masa,31,24.19,1566,43,0,0
BASE,movimiento_en_masa,32,28.4,2146,67,0,0
CATAS,movimiento_en_masa,32,33.16,2146,67,0,0
BASE,movimiento_en_masa,33,37.55,2832,88,0,0
CATAS,movimiento_en_masa,33,43.76,2832,88,0,0
BASE,movimiento_en_masa,34,6.25,487,16,0,0
CATAS,movimiento_en_masa,34,7.53,487,16,0,0
BASE,movimiento_en_masa,35,20.66,1612,66,0,0
CATAS,movimiento_en_masa,35,24.9,1612,66,0,0
BASE,movimiento_en_masa,36,36.93,2881,113,0,3
CATAS,movimiento_en_masa,36,50.96,3298,102,0,0
BASE,movimiento_en_masa,37,10.15,792,29,0,0
CATAS,movimiento_en_masa,37,12.23,792,29,0,0
BASE,movimiento_en_masa,38,26.82,2087,92,0,3
CATAS,movimiento_en_masa,38,38.91,2086,90,0,3
BASE,movimiento_en_masa,39,76.86,5449,278,0,0
CATAS,movimiento_en_masa,39,84.2,5449,278,0,0
BASE,movimiento_en_masa,40,22.9,1714,81,0,0
CATAS,movimiento_en_masa,40,26.49,1714,81,0,0
BASE,movimiento_en_masa,41,21.27,1586,44,0,0
CATAS,movimiento_en_masa,41,24.5,1586,44,0,0
BASE,movimiento_en_masa,42,19.19,1497,56,0,3
CATAS,movimiento_en_masa,42,29.8,1497,56,0,3
BASE,movimiento_en_masa,43,22.48,1753,72,0,3
CATAS,movimiento_en_masa,43,33.74,1752,70,0,3
BASE,movimiento_en_masa,44,55.43,4237,125,0,0
CATAS,movimiento_en_masa,44,65.47,4237,125,0,0
BASE,movimiento_en_masa,45,72.96,5520,176,0,0
CATAS,movimiento_en_masa,45,85.3,5520,176,0,0
BASE,movimiento_en_masa,46,26.52,2067,51,0,0
CATAS,movimiento_en_masa,46,31.94,2067,51,0,0
BASE,movimiento_en_masa,47,25.64,1920,44,0,0
CATAS,movimiento_en_masa,47,29.66,1920,44,0,0
BASE,movimiento_en_masa,48,41.07,3106,95,0,0
CATAS,movimiento_en_masa,48,47.99,3106,95,0,0
BASE,movimiento_en_masa,49,71.65,5270,280,0,0
CATAS,movimiento_en_masa,49,80.9,5236,284,0,0
BASE,movimiento_en_masa,50,36.95,2722,163,0,0
CATAS,movimiento_en_masa,50,42.06,2722,163,0,0
